Original,Furigana,English,Russian,JLPT Level
生身,なまみ,"living flesh, flesh and blood, the quick","живая плоть, плоть и кровь, живая",N1
鉛,なまり,lead (the metal),свинец (металл),N1
滑らか,なめらか,"smoothness, glassiness","гладкость, зеркальность",N1
嘗める,なめる,to lick; to experience; to make fun of,лизать; испытать; посмеяться над,N1
悩ましい,なやましい,"seductive, melancholy, languid","соблазнительный, меланхоличный, томный",N1
悩ます,なやます,"to bother, to harass, to molest","беспокоить, приставать",N1
悩み,なやみ,"trouble(s), worry, distress","неприятности, беспокойство, бедствие",N1
並びに,ならびに,and,и,N1
成り立つ,なりたつ,"to consist of; to be practical (logical, feasible, viable), to be concluded, to hold true","состоять из; быть практичным (логичным, выполнимым, жизнеспособным), заключаться в выводах, оставаться верным",N1
なるたけ,なるたけ,"as much as possible, if possible","как можно больше, если возможно",N1
慣れ,なれ,"practice, experience","практика, опыт",N1
馴々しい,なれなれしい,"familiar, make free with","знакомо, освободись с",N1
～なんか,～なんか,in the least ~,по крайней мере ~,N1
ナンセンス,ナンセンス,nonsense,ерунда,N1
何だか,なんだか,"a little, somewhat, somehow","немного, несколько, как-то",N1
なんだかんだ,なんだかんだ,something or other,что-то или другое,N1
なんなり,なんなり,"anything, whatever",что угодно,N1
荷,に,"load, baggage, cargo","груз, багаж",N1
似通う,にかよう,to resemble closely,сильно походить,N1
にきび,にきび,"pimple, acne","прыщ, прыщи",N1
賑わう,にぎわう,"to prosper, to flourish, to be crowded with people","процветать, быть переполненным людьми",N1
憎しみ,にくしみ,hatred,ненависть,N1
肉親,にくしん,"blood relationship, blood relative","кровное родство, кровный родственник",N1
肉体,にくたい,"the body, the flesh","тело, плоть",N1
逃げ出す,にげだす,"to run away, to escape from","убежать, убежать от",N1
西日,にしび,westering sun,заходящее солнце,N1
滲む,にじむ,"to run, to blur, to spread","бежать, размываться, распространяться",N1
にせ物,にせもの,"imitation, counterfeit","имитация, подделка",N1
日夜,にちや,"day and night, always","день и ночь, всегда",N1
荷造り,にづくり,"packing, baling, crating","упаковка, пакетирование, обрешетка",N1
担う,になう,"to carry on shoulder, to bear (burden), to shoulder (gun)","нести на плече, нести (бремя), взваливать на плечо (ружье)",N1
鈍る,にぶる,"to become less capable, to grow dull, to become blunt, to weaken","становиться менее способным, тупеть, ослабевать",N1
にも関わらず,にもかかわらず,"in spite of, nevertheless","несмотря на, тем не менее",N1
ニュアンス,ニュアンス,nuance,нюанс,N1
ニュー,ニュー,new,новый,N1
入手,にゅうしゅ,"obtaining, coming to hand","получение, попадание в руки",N1
